Company,Material,Thickness,Specification
Matexcel,"Graphene Nanopowder, 8nm",,
Matexcel,Graphene NMP Dispersion,,
Matexcel,Graphene on Aluminum Foil,,
Alfa Chemistry,Graphene on Copper Foil,,
Nanochemazone,Graphene on Lacey Carbon 300 Mesh Copper TEM Grids,,
Alfa Chemistry,Graphene on PET,,
Alfa Chemistry,Graphene on Plastic,,
Alfa Chemistry,Graphene on Quartz,,
Alfa Chemistry,Graphene on Si,,
Nanochemazone,Graphene on Silicon Nitride TEM Grids,,
Alfa Chemistry,Graphene on SiO2,,
Nanochemazone,Graphene on SiO2 Substrate,,
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on silicon substrate
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on silicon dioxide substrate
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on copper foil
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on quartz
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on plastic
"ACS Material, LLC",Graphene on substrate,,Single layer graphene on PET substrate
"ACS Material, LLC",Graphene on substrate,,Multi-layer graphene on substrate
